ID_Producto,Nombre_Producto,Aleación,Precio_Base,Stock,Nombre_Categoria,Nombre_Linea,Unidad
1,Lightbulb Smart Gps-Enabled,marble,76.64,134,mobile phones,Línea 2,Litros
2,Robust Noise-Canceling Printer,brass,253.56,169,cookware,Línea 2,Litros
3,Toaster Robust Eco-Friendly,marble,997.96,135,cookware,Línea 13,Litros
4,Game Cool High-Performance,ceramic,47.43,106,headphones and earbuds,Línea 10,Kilogramos
5,Spark Versatile Shaver,bronze,220.82,195,headphones and earbuds,Línea 9,Litros
6,Zoom Modular Toaster,brass,758.1,97,party supplies,Línea 10,Litros
7,Eco-Friendly Watch Fresh,titanium,966.98,137,cameras and photography,Línea 1,Litros
8,Spark Cool Toaster,felt,349.14,14,cameras and photography,Línea 1,Kilogramos
9,Bright Lamp Sync,paper,430.66,156,headphones and earbuds,Línea 1,Kilogramos
10,Navy Stainless Appliance,ceramic,645.32,70,cameras and photography,Línea 7,Kilogramos
11,Olive Fan Pulse,alloy,216.26,185,cameras and photography,Línea 1,Unidades
12,Teal Alloy Oven,plexiglass,850,54,cookware,Línea 11,Kilogramos
13,Teal Console X,leather,777.66,24,headphones and earbuds,Línea 4,Litros
14,Precision Vr Headset Matrix,wood,830.81,57,mobile phones,Línea 9,Kilogramos
15,Sync Pure Keyboard,carbon,867.62,119,mobile phones,Línea 5,Kilogramos
16,Granite White Television,copper,646.24,55,party supplies,Línea 1,Unidades
17,Plus Modular Blender,silicon,409.21,82,cameras and photography,Línea 14,Kilogramos
18,Durable Keyboard Zen,plexiglass,316.57,93,cameras and photography,Línea 13,Unidades
19,Bright Titanium Smart Home Device,glass,799.92,35,mobile phones,Línea 7,Litros
20,Lamp Innovative Smart,gold,489.86,61,mobile phones,Línea 6,Litros
21,Purple Brass Microwave,felt,986.81,139,headphones and earbuds,Línea 3,Unidades
22,Maroon Chrome Fitness Tracker,rubber,385.6,88,cameras and photography,Línea 7,Kilogramos
23,Biometric Tablet Luxe,silver,779.01,42,party supplies,Línea 9,Unidades
24,Edge Fresh Thermostat,silicon,56.43,142,mobile phones,Línea 13,Unidades
25,Compact Rubber Tablet,stainless,266.53,111,headphones and earbuds,Línea 2,Kilogramos
26,Game Fusion Plastic,glass,868.22,5,cookware,Línea 8,Kilogramos
27,Cool Gadget Nexus,titanium,395.31,79,cameras and photography,Línea 8,Kilogramos
28,Fitness Tracker Link Bamboo,chrome,554.52,64,headphones and earbuds,Línea 9,Unidades
29,Robust Plastic Headphones,bamboo,921.41,37,party supplies,Línea 1,Unidades
30,Matrix Sharp Router,silver,661.55,35,cookware,Línea 13,Litros
